Province/State,,Country/Region,First confirmed date in country,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,,Mainland China,1/3/2020,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chongqing,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2
Fujian,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Hainan,,Mainland China,1/3/2020,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hebei,,Mainland China,1/3/2020,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heilongjiang,,Mainland China,1/3/2020,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Henan,,Mainland China,1/3/2020,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Hubei,,Mainland China,1/3/2020,,,,24,24,32,40,52,52,76,76,76,100,100,125,125,125,125,162,162,204,249,249,350,414,414,479,479
Hunan,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,,Mainland China,1/3/2020,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shanxi,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
Tianjin,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Tibet,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang,,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,,Hong Kong,1/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Macau,,Macau,1/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,,Taiwan,1/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,US,1/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,,US,1/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,US,1/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,US,1/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Japan,1/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Thailand,1/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South Korea,1/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Singapore,1/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vietnam,1/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,France,1/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
