Province/State,Country/Region,,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM,2/7/2020 10:50 PM,2/8/2020 10:24 AM,2/8/2020 11:04 PM,2/9/2020 10:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
Beijing,Mainland China,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Chongqing,Mainland China,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Fujian,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Gansu,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Guangdong,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
Guangxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
Guizhou,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Hainan,Mainland China,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3
Hebei,Mainland China,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Heilongjiang,Mainland China,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,6,6
Henan,Mainland China,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,6,6
Hubei,Mainland China,,,,,24,24,32,40,52,52,76,76,76,100,100,125,125,125,125,162,162,204,249,249,350,414,414,479,479,549,549,549,618,699,699,780,780
Hunan,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Inner Mongolia,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Jiangsu,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Jiangxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Jilin,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
Liaoning,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Ningxia,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Qinghai,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Shaanxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Shandong,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
Shanghai,Mainland China,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shanxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Sichuan,Mainland China,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tianjin,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Tibet,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Xinjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Yunnan,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Zhejiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Hong Kong,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Macau,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Taiwan,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Seattle, WA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Chicago, IL",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Tempe, AZ",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Toronto, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
British Columbia,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Orange, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Los Angeles, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
New South Wales,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Victoria,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Queensland,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"London, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Santa Clara, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
South Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Boston, MA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"San Benito, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Madison, WI",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Cruise Ship,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
