Province/State,Country/Region,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30,2/11/20 10:50,2/11/20 20:44,2/12/20 10:20,2/12/20 22:00,2/13/20 10:00
Anhui,Mainland China,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,5.0,7.0,14.0,14.0,20.0,23.0,23.0,34.0,34.0,47.0,47.0,59.0,59.0,72.0,73.0,88.0,88.0,105,108,127,128,157
Beijing,Mainland China,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,9.0,12.0,12.0,23.0,24.0,31.0,31.0,31.0,33.0,34.0,34.0,37.0,37.0,44.0,44.0,44.0,48,48,56,68,69
Chongqing,Mainland China,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,3.0,7.0,9.0,9.0,14.0,15.0,15.0,24.0,24.0,31.0,31.0,39.0,39.0,50.0,51.0,66.0,66.0,72,79,87,102,128
Fujian,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,11.0,11.0,14.0,14.0,20.0,20.0,24.0,26.0,35.0,35.0,39.0,39.0,45,46,53,54,57
Gansu,Mainland China,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,9.0,12.0,12.0,15.0,16.0,17.0,21.0,24,24,29,31,34
Guangdong,Mainland China,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,10.0,11.0,14.0,15.0,21.0,21.0,32.0,49.0,49.0,69.0,69.0,88.0,97.0,112.0,125.0,141.0,147.0,167.0,167.0,212,241,275,284,314
Guangxi,Mainland China,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,10.0,13.0,14.0,14.0,14.0,17.0,17.0,17.0,18.0,18.0,18.0,24.0,24.0,33,31,32,33,33
Guizhou,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,10.0,10.0,17,17,18,20,27
Hainan,Mainland China,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,10.0,11.0,14.0,15.0,19.0,19.0,19.0,19.0,20,20,27,27,30
Hebei,Mainland China,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,6.0,7.0,13.0,13.0,22.0,25.0,30.0,30.0,34.0,35.0,41.0,41.0,48,48,54,55,68
Heilongjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,7.0,7.0,8.0,8.0,12.0,12.0,13.0,13.0,14.0,15.0,30.0,30.0,28,28,31,31,33
Henan,Mainland China,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,14.0,14.0,20.0,41.0,47.0,54.0,56.0,56.0,86.0,97.0,116.0,131.0,153.0,169.0,191.0,191.0,218,231,246,258,296
Hubei,Mainland China,25.0,28.0,28.0,31.0,31.0,32.0,32.0,42.0,42.0,44.0,45.0,45.0,47.0,52.0,80.0,80.0,80.0,88.0,90.0,90.0,141.0,168.0,295.0,386.0,396.0,522.0,537.0,651.0,712.0,712.0,867.0,1115.0,1218.0,1440.0,1480.0,1795.0,1854.0,2222.0,2310,2639,2686,3441,3459
Hunan,Mainland China,,,,,,,,,,,,,,,,,,,,2.0,2.0,8.0,16.0,22.0,22.0,35.0,53.0,56.0,81.0,81.0,112.0,119.0,156.0,159.0,186.0,186.0,208.0,208.0,247,263,304,312,339
Inner Mongolia,Mainland China,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,6,6,6
Jiangsu,Mainland China,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,8.0,8.0,13.0,23.0,29.0,34.0,34.0,43.0,43.0,51.0,58.0,71.0,72.0,81.0,81.0,93,94,125,131,139
Jiangxi,Mainland China,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,9.0,18.0,18.0,19.0,27.0,27.0,37.0,37.0,37.0,45.0,55.0,55.0,72.0,73.0,102.0,105.0,105.0,128,152,152,170,170
Jilin,Mainland China,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,12.0,12.0,13.0,13.0,18,18,22,22,24
Liaoning,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,12.0,12.0,13.0,13.0,19,19,20,21,22
Ningxia,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,15.0,13.0,13.0,13.0,13.0,13.0,22,22,24,24,24
Qinghai,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5,5,9,9,11
Shaanxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,6.0,7.0,9.0,9.0,17.0,17.0,20.0,25.0,25.0,26.0,30.0,30.0,32,32,43,42,46
Shandong,Mainland China,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,7.0,13.0,15.0,21.0,27.0,27.0,37.0,38.0,44.0,50.0,63.0,63.0,66.0,66.0,80,80,92,98,105
Shanghai,Mainland China,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,12.0,15.0,25.0,25.0,25.0,30.0,3.0,41.0,41.0,44.0,44.0,48.0,48.0,52,53,57,57,62
Shanxi,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,6.0,8.0,12.0,15.0,15.0,20.0,21.0,22.0,25.0,25.0,25.0,30,30,33,33,33
Sichuan,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,12.0,14.0,14.0,23.0,24.0,27.0,31.0,31.0,42.0,5.0,60.0,60.0,71.0,76.0,80.0,80.0,85,85,92,93,104
Tianjin,Mainland China,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,8.0,8.0,10,10,11,11,21
Tibet,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
Xinjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,6
Yunnan,Mainland China,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,12.0,17.0,17.0,18.0,18.0,19.0,19.0,20,20,26,23,27
Zhejiang,Mainland China,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,14.0,21.0,36.0,43.0,48.0,63.0,78.0,81.0,94.0,94.0,123.0,127.0,175.0,185.0,201.0,201.0,242.0,242.0,270,279,321,327,360
Hong Kong,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
Macau,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2,2,3
