Province/State,Country/Region,,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM,2/7/2020 10:50 PM,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui,Mainland China,,,,,,,,,,,,,,,,,,2,2,2,2,3,5,7,14,14,20,23,23,34,34,47,47,59,59,72
Beijing,Mainland China,,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,9,9,12,12,23,24,31,31,31,33,34,34,37,37
Chongqing,Mainland China,,,,,,,,,,,,,,,,,1,,1,1,1,1,3,7,9,9,14,15,15,24,24,31,31,39,39,50
Fujian,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,11,11,14,14,20,20,24,26,35
Gansu,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,6,6,6,9,9,12,12,15
Guangdong,Mainland China,,,,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,6,10,11,14,15,21,21,32,49,49,69,69,88,97,112,125,141
Guangxi,Mainland China,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,7,7,10,13,14,14,14,17,17,17,18,18
Guizhou,Mainland China,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,5,9,6,6,6,6,6,7,7,7
Hainan,Mainland China,,,,,,,,,,,,,,,,,,1,,,1,1,1,4,4,4,4,5,5,8,8,10,11,14,15,19
Hebei,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,6,7,13,13,22,25,30,30,34
Heilongjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,7,7,8,8,12,12,13,13,14
Henan,Mainland China,,,,,,,,,,,,,,,,,1,1,1,2,2,3,3,14,14,20,41,47,54,56,56,86,97,116,131,153
Hubei,Mainland China,,25,28,28,31,31,32,32,42,42,44,45,45,47,52,80,80,80,88,90,90,141,168,295,386,396,522,537,651,712,712,867,1115,1218,1440,1480
Hunan,Mainland China,,,,,,,,,,,,,,,,,,,,,2,2,8,16,22,22,35,53,56,81,81,112,119,156,159,186
Inner Mongolia,Mainland China,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,4,4,5,5,5,5,5
Jiangsu,Mainland China,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,8,8,13,23,29,34,34,43,43,51,58,71
Jiangxi,Mainland China,,,,,,,,,,,,1,2,2,3,3,3,3,3,4,5,7,9,18,18,19,27,27,37,37,37,45,55,55,72,73
Jilin,Mainland China,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,5,12
Liaoning,Mainland China,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,4,4,5,5,7,7,8,8,12
Ningxia,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,15,13,13
Qinghai,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,3,3,3,3,3,3,3,3
Shaanxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,7,9,9,17,17,20,25,25
Shandong,Mainland China,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,6,7,7,13,15,21,27,27,37,38,44,50,63
Shanghai,Mainland China,,,,,,1,1,1,1,1,1,3,3,3,4,4,4,4,5,5,5,9,10,10,10,10,12,15,25,25,25,30,3,41,41,44
Shanxi,Mainland China,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,2,2,4,4,6,8,12,15,15,20,21,22
Sichuan,Mainland China,,,,,,,,,,,,,,,,,,,1,1,1,1,3,12,14,14,23,24,27,31,31,42,5,60,60,71
Tianjin,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,4,4,4
Tibet,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0
Xinjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0
Yunnan,Mainland China,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,5,5,5,5,7,7,12,12,17,17,18
Zhejiang,Mainland China,,,,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,14,21,36,43,48,63,78,81,94,94,123,127,175,185,201
Hong Kong,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Macau,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
Taiwan,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
"Seattle, WA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
"Chicago, IL",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Tempe, AZ",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Japan,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Thailand,,,,,,,,,,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
,Vietnam,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
"Toronto, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
British Columbia,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Orange, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Los Angeles, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
New South Wales,Australia,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Victoria,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Queensland,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"London, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Santa Clara, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
