id,sqm,room,price,description,agency,url,region,date,source
14653809,28,1,29.9,"Felújított kislakás a belváros legjobb részén
Eladásra kínálom ezt a felújított, tehermentes lakást, ami az V. kerületben, a Ferenciek terénél, egygyönyörűen karbantartott, nagy udvaros, két bejáratos társasház földszintjén helyezkedik el. ...",,https://www.oc.hu/ingatlanok/H400059?c=1b06e8e0,H400059,2020-01-06,centrum
12625576,33,1,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2020-01-06,centrum
13617162,31,1,34.9,"Rejtett kis ékszerdoboz várja következő tulajdonosát 5 perc sétára a Deák & Astoria közelében nyugodt kismellékutcában.
...",,https://www.oc.hu/ingatlanok/H394360?c=1b06e8e0,H394360,2020-01-06,centrum
11056509,32,1,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2020-01-06,centrum
14123464,33,1,75,"Kis lakás panorámával
A Parlament és az Olimpiai park közvetlen közelében, a
Margit szigettől és Szent István parktól néhány perc...",,https://www.oc.hu/ingatlanok/H397307?c=1b06e8e0,H397307,2020-01-06,centrum
13247999,32,1,37.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2020-01-06,centrum
14850582,31,1,36,"Befektetőknek, illetve igényeseknek akik saját ízlésükre szabnák lakásukat!

Amennyiben egy kis lakást keres kiemelkedően központi helyen, és nem fél a felújítástól sem, itt a...",,https://www.oc.hu/ingatlanok/H396157?c=1b06e8e0,H396157,2020-01-13,centrum
14653809,28,1,29.9,"Felújított kislakás a belváros legjobb részén
Eladásra kínálom ezt a felújított, tehermentes lakást, ami az V. kerületben, a Ferenciek terénél, egygyönyörűen karbantartott, nagy udvaros, két bejáratos társasház földszintjén helyezkedik el. ...",,https://www.oc.hu/ingatlanok/H400059?c=1b06e8e0,H400059,2020-01-13,centrum
12625576,33,1,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2020-01-13,centrum
13617162,31,1,34.9,"Rejtett kis ékszerdoboz várja következő tulajdonosát 5 perc sétára a Deák & Astoria közelében nyugodt kismellékutcában.
...",,https://www.oc.hu/ingatlanok/H394360?c=1b06e8e0,H394360,2020-01-13,centrum
11056509,32,1,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2020-01-13,centrum
14123464,33,1,75,"Kis lakás panorámával
A Parlament és az Olimpiai park közvetlen közelében, a
Margit szigettől és Szent István parktól néhány perc...",,https://www.oc.hu/ingatlanok/H397307?c=1b06e8e0,H397307,2020-01-13,centrum
13247999,32,1,37.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2020-01-13,centrum
14850582,31,1,36,"Befektetőknek, illetve igényeseknek akik saját ízlésükre szabnák lakásukat!

Amennyiben egy kis lakást keres kiemelkedően központi helyen, és nem fél a felújítástól sem, itt a...",,https://www.oc.hu/ingatlanok/H396157?c=1b06e8e0,H396157,2020-01-19,centrum
14653809,28,1,29.9,"Felújított kislakás a belváros legjobb részén
Eladásra kínálom ezt a felújított, tehermentes lakást, ami az V. kerületben, a Ferenciek terénél, egygyönyörűen karbantartott, nagy udvaros, két bejáratos társasház földszintjén helyezkedik el. ...",,https://www.oc.hu/ingatlanok/H400059?c=1b06e8e0,H400059,2020-01-19,centrum
12625576,33,1,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2020-01-19,centrum
13617162,31,1,34.9,"Rejtett kis ékszerdoboz várja következő tulajdonosát 5 perc sétára a Deák & Astoria közelében nyugodt kismellékutcában.
...",,https://www.oc.hu/ingatlanok/H394360?c=1b06e8e0,H394360,2020-01-19,centrum
11056509,32,1,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2020-01-19,centrum
14123464,33,1,75,"Kis lakás panorámával
A Parlament és az Olimpiai park közvetlen közelében, a
Margit szigettől és Szent István parktól néhány perc...",,https://www.oc.hu/ingatlanok/H397307?c=1b06e8e0,H397307,2020-01-19,centrum
13247999,32,1,37.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2020-01-19,centrum
14653809,28,1,29.9,"Felújított kislakás a belváros legjobb részén
Eladásra kínálom ezt a felújított, tehermentes lakást, ami az V. kerületben, a Ferenciek terénél, egygyönyörűen karbantartott, nagy udvaros, két bejáratos társasház földszintjén helyezkedik el. ...",,https://www.oc.hu/ingatlanok/H400059?c=1b06e8e0,H400059,2019-12-22,centrum
12625576,33,1,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2019-12-22,centrum
13617162,31,1,34.9,"Rejtett kis ékszerdoboz várja következő tulajdonosát 5 perc sétára a Deák & Astoria közelében nyugodt kismellékutcában.
...",,https://www.oc.hu/ingatlanok/H394360?c=1b06e8e0,H394360,2019-12-22,centrum
11056509,32,1,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2019-12-22,centrum
13247999,32,1,37.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2019-12-22,centrum
14123464,33,1,75,"Kis lakás panorámával
A Parlament és az Olimpiai park közvetlen közelében, a
Margit szigettől és Szent István parktól néhány perc...",,https://www.oc.hu/ingatlanok/H397307?c=1b06e8e0,H397307,2019-12-22,centrum
14850582,31,1,36,"Befektetőknek, illetve igényeseknek akik saját ízlésükre szabnák lakásukat!

Amennyiben egy kis lakást keres kiemelkedően központi helyen, és nem fél a felújítástól sem, itt a...",,https://www.oc.hu/ingatlanok/H396157?c=1b06e8e0,H396157,2020-01-26,centrum
12625576,33,1,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2020-01-26,centrum
13617162,31,1,34.9,"Rejtett kis ékszerdoboz várja következő tulajdonosát 5 perc sétára a Deák & Astoria közelében nyugodt kismellékutcában.
...",,https://www.oc.hu/ingatlanok/H394360?c=1b06e8e0,H394360,2020-01-26,centrum
11056509,32,1,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2020-01-26,centrum
14123464,33,1,75,"Kis lakás panorámával
A Parlament és az Olimpiai park közvetlen közelében, a
Margit szigettől és Szent István parktól néhány perc...",,https://www.oc.hu/ingatlanok/H397307?c=1b06e8e0,H397307,2020-01-26,centrum
13247999,32,1,36.5,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2020-01-26,centrum
